shape_idx,orig_label,rf_label,n_points_orig,n_points_rf,label_match,recovered_vertices,cap_strict,cap_bidir,align_rmse,mean_nn_dist,distance_threshold,recovered_indices,visualization_path
0,wall,wall,44,41,1,40,0.975000,0.975000,41.018549,2.520828,20.000000,3 4 5 6 7 8 9 10 11 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 0 1 2,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.93cfdc83c5abebdf7a4cd3b1776e9bb3\visualizations\shape_000_wall.png
1,wall,wall,28,5,1,5,0.000000,0.400000,14.060512,5.168041,20.000000,0 24 10 9 1,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.93cfdc83c5abebdf7a4cd3b1776e9bb3\visualizations\shape_001_wall.png
2,wall,wall,22,29,1,10,0.200000,0.300000,35.607958,10.889745,20.000000,3 5 10 2 19 18 15 16 20 21,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.93cfdc83c5abebdf7a4cd3b1776e9bb3\visualizations\shape_002_wall.png
3,wall,wall,36,23,1,14,0.000000,0.142857,29.787354,12.013490,20.000000,21 33 6 35 4 0 19 9 15 12 8 18 17 22,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.93cfdc83c5abebdf7a4cd3b1776e9bb3\visualizations\shape_003_wall.png
4,wall,wall,8,37,1,0,0.000000,0.000000,103.918788,nan,20.000000,,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.93cfdc83c5abebdf7a4cd3b1776e9bb3\visualizations\shape_004_wall.png
5,wall,wall,14,9,1,9,0.222222,0.222222,9.835510,9.558853,20.000000,2 13 1 5 6 9 7 8 11,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.93cfdc83c5abebdf7a4cd3b1776e9bb3\visualizations\shape_005_wall.png
6,wall,wall,4,15,1,2,0.000000,0.000000,43.707248,15.159083,20.000000,1 3,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.93cfdc83c5abebdf7a4cd3b1776e9bb3\visualizations\shape_006_wall.png
7,wall,wall,12,5,1,5,0.000000,0.200000,3.474905,4.304600,20.000000,2 6 10 0 3,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.93cfdc83c5abebdf7a4cd3b1776e9bb3\visualizations\shape_007_wall.png
8,wall,wall,18,13,1,3,0.000000,0.333333,52.479441,11.626151,20.000000,13 12 10,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.93cfdc83c5abebdf7a4cd3b1776e9bb3\visualizations\shape_008_wall.png
9,wall,wall,8,19,1,3,0.000000,0.333333,42.213740,14.834556,20.000000,0 5 4,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.93cfdc83c5abebdf7a4cd3b1776e9bb3\visualizations\shape_009_wall.png
