file,source_shape_index,label,component_index,original_vertex_count,surviving_vertices,cap_strict,cap_bidir,indices
TE_D_00025_ab20e7_aug.json,0,wall,0,44,40,0.975000,0.975000,0 1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43
TE_D_00025_ab20e7_aug.json,0,wall,1,44,4,0.750000,0.750000,12 13 14 15
TE_D_00025_ab20e7_aug.json,1,wall,0,28,24,0.958333,0.958333,0 1 2 3 4 5 6 7 8 9 10 11 12 17 18 19 20 21 22 23 24 25 26 27
TE_D_00025_ab20e7_aug.json,1,wall,1,28,4,0.750000,0.750000,13 14 15 16
TE_D_00025_ab20e7_aug.json,2,wall,0,22,22,1.000000,1.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
TE_D_00025_ab20e7_aug.json,3,wall,0,36,36,1.000000,1.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35
TE_D_00025_ab20e7_aug.json,4,wall,0,8,8,1.000000,1.000000,0 1 2 3 4 5 6 7
TE_D_00025_ab20e7_aug.json,5,wall,0,14,14,1.000000,1.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13
TE_D_00025_ab20e7_aug.json,6,wall,0,4,4,1.000000,1.000000,0 1 2 3
TE_D_00025_ab20e7_aug.json,7,wall,0,12,12,1.000000,1.000000,0 1 2 3 4 5 6 7 8 9 10 11
TE_D_00025_ab20e7_aug.json,8,wall,0,18,18,1.000000,1.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
TE_D_00025_ab20e7_aug.json,9,wall,0,8,8,1.000000,1.000000,0 1 2 3 4 5 6 7
TE_D_00025_ab20e7_aug.json,10,wall,0,6,6,1.000000,1.000000,0 1 2 3 4 5
TE_D_00025_ab20e7_aug.json,11,wall,0,4,4,1.000000,1.000000,0 1 2 3
TE_D_00025_ab20e7_aug.json,15,wall,0,4,4,1.000000,1.000000,0 1 2 3
TE_D_00025_ab20e7_aug.json,16,wall,0,4,4,1.000000,1.000000,0 1 2 3
TE_D_00025_ab20e7_aug.json,17,bathroom,0,6,6,1.000000,1.000000,0 1 2 3 4 5
TE_D_00025_ab20e7_aug.json,18,bathroom,0,6,6,1.000000,1.000000,0 1 2 3 4 5
TE_D_00025_ab20e7_aug.json,19,entrance,0,6,6,1.000000,1.000000,0 1 2 3 4 5
TE_D_00025_ab20e7_aug.json,20,bathroom,0,4,4,1.000000,1.000000,0 1 2 3
TE_D_00025_ab20e7_aug.json,21,balcony,0,6,6,1.000000,1.000000,0 1 2 3 4 5
TE_D_00025_ab20e7_aug.json,22,bathroom,0,6,6,1.000000,1.000000,0 1 2 3 4 5
TE_D_00025_ab20e7_aug.json,23,bed_room,0,4,4,1.000000,1.000000,0 1 2 3
TE_D_00025_ab20e7_aug.json,24,bed_room,0,4,4,1.000000,1.000000,0 1 2 3
TE_D_00025_ab20e7_aug.json,25,living_kitchen,0,8,8,1.000000,1.000000,0 1 2 3 4 5 6 7
TE_D_00025_ab20e7_aug.json,26,bed_room,0,8,8,1.000000,1.000000,0 1 2 3 4 5 6 7
TE_D_00025_ab20e7_aug.json,27,bed_room,0,4,4,1.000000,1.000000,0 1 2 3
TE_D_00025_ab20e7_aug.json,28,others,0,4,4,1.000000,1.000000,0 1 2 3
TE_D_00025_ab20e7_aug.json,29,others,0,6,6,1.000000,1.000000,0 1 2 3 4 5
TE_D_00025_ab20e7_aug.json,30,others,0,4,4,1.000000,1.000000,0 1 2 3
TE_D_00025_ab20e7_aug.json,31,others,0,4,4,1.000000,1.000000,0 1 2 3
TE_D_00025_ab20e7_aug.json,32,others,0,4,4,1.000000,1.000000,0 1 2 3
TE_D_00025_ab20e7_aug.json,33,others,0,14,14,1.000000,1.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13
TE_D_00025_ab20e7_aug.json,34,others,0,4,4,1.000000,1.000000,0 1 2 3
TE_D_00025_ab20e7_aug.json,35,others,0,4,4,1.000000,1.000000,0 1 2 3
TE_D_00025_ab20e7_aug.json,36,others,0,4,4,1.000000,1.000000,0 1 2 3
TE_D_00025_ab20e7_aug.json,37,others,0,4,4,1.000000,1.000000,0 1 2 3
TE_D_00025_ab20e7_aug.json,38,background,0,42,42,1.000000,1.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41
