shape_idx,orig_label,rf_label,n_points_orig,n_points_rf,label_match,recovered_vertices,cap_strict,cap_bidir,align_rmse,mean_nn_dist,distance_threshold,recovered_indices,visualization_path
23,wall,wall,14,14,1,14,1.000000,1.000000,0.000524,0.000348,20.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_023_wall.png
24,wall,wall,6,6,1,6,1.000000,1.000000,0.000440,0.000404,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_024_wall.png
25,wall,wall,4,4,1,4,1.000000,1.000000,0.000183,0.000213,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_025_wall.png
26,wall,wall,4,4,1,4,1.000000,1.000000,0.000189,0.000281,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_026_wall.png
27,balcony,balcony,4,4,1,4,1.000000,1.000000,0.000330,0.000319,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_027_balcony.png
28,bed_room,bed_room,4,4,1,4,1.000000,1.000000,0.000298,0.000480,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_028_bed_room.png
29,dressing_room,dressing_room,4,4,1,4,1.000000,1.000000,0.000119,0.000271,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_029_dressing_room.png
30,bathroom,bathroom,4,4,1,4,1.000000,1.000000,0.000426,0.000571,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_030_bathroom.png
31,others,others,4,4,1,4,1.000000,1.000000,0.000435,0.000514,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_031_others.png
32,others,others,6,6,1,6,1.000000,1.000000,0.000066,0.000295,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_032_others.png
33,balcony,balcony,6,6,1,6,1.000000,1.000000,0.000206,0.000330,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_033_balcony.png
34,others,others,4,4,1,4,1.000000,1.000000,0.000188,0.000384,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_034_others.png
35,balcony,balcony,4,4,1,4,1.000000,1.000000,0.000125,0.000189,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_035_balcony.png
36,bed_room,bed_room,4,4,1,4,1.000000,1.000000,0.000283,0.000457,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_036_bed_room.png
37,bathroom,bathroom,5,5,1,5,1.000000,1.000000,0.000137,0.000243,20.000000,0 1 2 3 4,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_037_bathroom.png
38,others,others,4,4,1,4,1.000000,1.000000,0.000214,0.000239,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_038_others.png
39,bed_room,bed_room,6,6,1,6,1.000000,1.000000,0.000110,0.000231,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_039_bed_room.png
40,balcony,balcony,6,6,1,6,1.000000,1.000000,0.000278,0.000378,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_040_balcony.png
41,entrance,entrance,8,8,1,8,1.000000,1.000000,0.000224,0.000303,20.000000,0 1 2 3 4 5 6 7,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_041_entrance.png
42,living_kitchen,living_kitchen,15,15,1,15,1.000000,1.000000,0.000465,0.000389,20.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_042_living_kitchen.png
43,wall,wall,4,4,1,4,1.000000,1.000000,0.000236,0.000399,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_043_wall.png
44,others,others,4,4,1,4,1.000000,1.000000,0.000081,0.000103,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_044_others.png
45,background,background,27,27,1,27,1.000000,1.000000,0.000571,0.000348,20.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_045_background.png
