shape_idx,orig_label,rf_label,n_points_orig,n_points_rf,label_match,recovered_vertices,cap_strict,cap_bidir,align_rmse,mean_nn_dist,distance_threshold,recovered_indices,visualization_path
46,others,living_kitchen,6,11,0,0,0.000000,0.000000,126.231283,nan,20.000000,,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_046_others.png
47,others,others,4,7,1,0,0.000000,0.000000,26.481832,nan,20.000000,,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_047_others.png
48,others,others,4,5,1,2,0.000000,0.000000,9.402346,6.819857,20.000000,0 2,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_048_others.png
49,others,others,4,5,1,2,0.000000,0.000000,13.908086,12.827870,20.000000,0 2,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_049_others.png
50,balcony,others,4,5,0,2,0.000000,0.000000,6.838553,6.930851,20.000000,0 2,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_050_balcony.png
51,others,balcony,4,5,0,2,0.000000,0.000000,12.796644,11.243679,20.000000,0 2,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_051_others.png
52,others,others,4,5,1,2,0.000000,0.000000,14.177424,10.325241,20.000000,0 2,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_052_others.png
53,others,others,4,5,1,2,0.000000,0.000000,11.330880,8.250386,20.000000,0 2,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_053_others.png
54,others,others,5,5,1,2,0.000000,0.000000,15.525904,8.720287,20.000000,2 4,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_054_others.png
55,others,others,5,6,1,4,0.750000,0.750000,11.069270,11.016051,20.000000,4 0 1 2,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_055_others.png
56,others,others,4,6,1,2,0.000000,0.000000,11.541325,3.966475,20.000000,0 2,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_056_others.png
57,others,others,4,5,1,2,0.000000,0.000000,12.858346,10.206618,20.000000,0 2,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_057_others.png
58,wall,others,4,5,0,2,0.000000,0.000000,24.595273,10.710523,20.000000,0 2,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_058_wall.png
59,others,wall,6,5,0,5,0.200000,0.600000,4.613473,8.114788,20.000000,0 3 4 2 1,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_059_others.png
60,others,others,4,7,1,3,0.666667,0.666667,19.603965,14.490104,20.000000,0 2 3,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_060_others.png
61,others,others,5,5,1,5,0.000000,1.000000,1.910099,3.825585,20.000000,3 2 1 0 4,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_061_others.png
62,background,others,28,6,0,0,0.000000,0.000000,53.866867,nan,20.000000,,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_062_background.png
