shape_idx,orig_label,rf_label,n_points_orig,n_points_rf,label_match,recovered_vertices,cap_strict,cap_bidir,align_rmse,mean_nn_dist,distance_threshold,recovered_indices,visualization_path
48,bathroom,bathroom,10,10,1,10,1.000000,1.000000,0.000430,0.000442,20.000000,0 1 2 3 4 5 6 7 8 9,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_048_bathroom.png
49,bathroom,bathroom,10,10,1,10,1.000000,1.000000,0.000484,0.000484,20.000000,0 1 2 3 4 5 6 7 8 9,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_049_bathroom.png
50,living_kitchen,living_kitchen,12,12,1,12,1.000000,1.000000,0.000420,0.000459,20.000000,0 1 2 3 4 5 6 7 8 9 10 11,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_050_living_kitchen.png
51,bed_room,bed_room,14,14,1,14,1.000000,1.000000,0.000671,0.000486,20.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_051_bed_room.png
52,balcony,balcony,36,36,1,36,1.000000,1.000000,0.001402,0.000459,20.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_052_balcony.png
53,others,others,6,6,1,6,1.000000,1.000000,0.000356,0.000290,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_053_others.png
54,others,others,6,6,1,6,1.000000,1.000000,0.000591,0.000508,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_054_others.png
55,others,others,4,4,1,4,1.000000,1.000000,0.000073,0.000175,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_055_others.png
56,others,others,4,4,1,4,1.000000,1.000000,0.000056,0.000109,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_056_others.png
57,background,background,32,32,1,32,1.000000,1.000000,0.000659,0.000344,20.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_057_background.png
