file,source_shape_index,label,component_index,original_vertex_count,surviving_vertices,cap_strict,cap_bidir,indices
TE_D_00039_062ea3_aug.json,0,wall,0,32,28,0.964286,0.964286,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 20 21 22 23 24 25 26 27 28 29 30 31
TE_D_00039_062ea3_aug.json,0,wall,1,32,4,0.750000,0.750000,16 17 18 19
TE_D_00039_062ea3_aug.json,1,wall,0,8,8,1.000000,1.000000,0 1 2 3 4 5 6 7
TE_D_00039_062ea3_aug.json,2,wall,0,24,24,1.000000,1.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
TE_D_00039_062ea3_aug.json,3,wall,0,4,4,1.000000,1.000000,0 1 2 3
TE_D_00039_062ea3_aug.json,4,wall,0,42,42,1.000000,1.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41
TE_D_00039_062ea3_aug.json,5,wall,0,4,4,1.000000,1.000000,0 1 2 3
TE_D_00039_062ea3_aug.json,6,wall,0,4,4,1.000000,1.000000,0 1 2 3
TE_D_00039_062ea3_aug.json,7,wall,0,4,4,1.000000,1.000000,0 1 2 3
TE_D_00039_062ea3_aug.json,8,wall,0,12,8,0.875000,0.875000,0 1 2 3 4 5 6 11
TE_D_00039_062ea3_aug.json,8,wall,1,12,4,0.750000,0.750000,7 8 9 10
TE_D_00039_062ea3_aug.json,9,wall,0,6,6,1.000000,1.000000,0 1 2 3 4 5
TE_D_00039_062ea3_aug.json,10,wall,0,4,4,1.000000,1.000000,0 1 2 3
TE_D_00039_062ea3_aug.json,11,wall,0,4,4,1.000000,1.000000,0 1 2 3
TE_D_00039_062ea3_aug.json,12,wall,0,4,4,1.000000,1.000000,0 1 2 3
TE_D_00039_062ea3_aug.json,13,wall,0,10,10,1.000000,1.000000,0 1 2 3 4 5 6 7 8 9
TE_D_00039_062ea3_aug.json,14,wall,0,4,4,1.000000,1.000000,0 1 2 3
TE_D_00039_062ea3_aug.json,15,wall,0,10,10,1.000000,1.000000,0 1 2 3 4 5 6 7 8 9
TE_D_00039_062ea3_aug.json,16,wall,0,4,4,1.000000,1.000000,0 1 2 3
TE_D_00039_062ea3_aug.json,17,wall,0,4,4,1.000000,1.000000,0 1 2 3
TE_D_00039_062ea3_aug.json,18,wall,0,10,10,1.000000,1.000000,0 1 2 3 4 5 6 7 8 9
TE_D_00039_062ea3_aug.json,19,wall,0,8,8,1.000000,1.000000,0 1 2 3 4 5 6 7
TE_D_00039_062ea3_aug.json,20,wall,0,38,34,0.970588,0.970588,0 1 2 3 4 5 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37
TE_D_00039_062ea3_aug.json,20,wall,1,38,4,0.750000,0.750000,6 7 8 9
TE_D_00039_062ea3_aug.json,21,wall,0,8,8,1.000000,1.000000,0 1 2 3 4 5 6 7
TE_D_00039_062ea3_aug.json,22,wall,0,16,16,1.000000,1.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
TE_D_00039_062ea3_aug.json,23,wall,0,12,12,1.000000,1.000000,0 1 2 3 4 5 6 7 8 9 10 11
TE_D_00039_062ea3_aug.json,24,wall,0,8,8,1.000000,1.000000,0 1 2 3 4 5 6 7
TE_D_00039_062ea3_aug.json,25,wall,0,4,4,1.000000,1.000000,0 1 2 3
TE_D_00039_062ea3_aug.json,26,wall,0,4,4,1.000000,1.000000,0 1 2 3
TE_D_00039_062ea3_aug.json,27,wall,0,12,12,1.000000,1.000000,0 1 2 3 4 5 6 7 8 9 10 11
TE_D_00039_062ea3_aug.json,28,stairs,0,4,4,1.000000,1.000000,0 1 2 3
TE_D_00039_062ea3_aug.json,29,elevator,0,4,4,1.000000,1.000000,0 1 2 3
TE_D_00039_062ea3_aug.json,30,others,0,10,10,1.000000,1.000000,0 1 2 3 4 5 6 7 8 9
TE_D_00039_062ea3_aug.json,31,bathroom,0,4,4,1.000000,1.000000,0 1 2 3
TE_D_00039_062ea3_aug.json,32,bathroom,0,4,4,1.000000,1.000000,0 1 2 3
TE_D_00039_062ea3_aug.json,33,entrance,0,6,6,1.000000,1.000000,0 1 2 3 4 5
TE_D_00039_062ea3_aug.json,34,entrance,0,6,6,1.000000,1.000000,0 1 2 3 4 5
TE_D_00039_062ea3_aug.json,35,bathroom,0,4,4,1.000000,1.000000,0 1 2 3
TE_D_00039_062ea3_aug.json,36,others,0,6,6,1.000000,1.000000,0 1 2 3 4 5
TE_D_00039_062ea3_aug.json,37,dressing_room,0,4,4,1.000000,1.000000,0 1 2 3
TE_D_00039_062ea3_aug.json,38,others,0,4,4,1.000000,1.000000,0 1 2 3
TE_D_00039_062ea3_aug.json,39,bed_room,0,4,4,1.000000,1.000000,0 1 2 3
TE_D_00039_062ea3_aug.json,40,bed_room,0,8,8,1.000000,1.000000,0 1 2 3 4 5 6 7
TE_D_00039_062ea3_aug.json,41,bed_room,0,6,6,1.000000,1.000000,0 1 2 3 4 5
TE_D_00039_062ea3_aug.json,42,bed_room,0,6,6,1.000000,1.000000,0 1 2 3 4 5
TE_D_00039_062ea3_aug.json,43,bed_room,0,4,4,1.000000,1.000000,0 1 2 3
TE_D_00039_062ea3_aug.json,44,balcony,0,4,4,1.000000,1.000000,0 1 2 3
TE_D_00039_062ea3_aug.json,45,balcony,0,8,8,1.000000,1.000000,0 1 2 3 4 5 6 7
