shape_idx,orig_label,rf_label,n_points_orig,n_points_rf,label_match,recovered_vertices,cap_strict,cap_bidir,align_rmse,mean_nn_dist,distance_threshold,recovered_indices,visualization_path
23,wall,wall,12,12,1,12,1.000000,1.000000,0.000370,0.000330,20.000000,0 1 2 3 4 5 6 7 8 9 10 11,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.301a23b22d94e0817785bd2577615b75\visualizations\shape_023_wall.png
24,wall,wall,8,8,1,8,1.000000,1.000000,0.000000,0.000000,20.000000,0 1 2 3 4 5 6 7,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.301a23b22d94e0817785bd2577615b75\visualizations\shape_024_wall.png
25,wall,wall,4,4,1,4,1.000000,1.000000,0.000000,0.000000,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.301a23b22d94e0817785bd2577615b75\visualizations\shape_025_wall.png
26,wall,wall,4,4,1,4,1.000000,1.000000,0.000000,0.000000,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.301a23b22d94e0817785bd2577615b75\visualizations\shape_026_wall.png
27,wall,wall,12,12,1,12,1.000000,1.000000,0.000000,0.000000,20.000000,0 1 2 3 4 5 6 7 8 9 10 11,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.301a23b22d94e0817785bd2577615b75\visualizations\shape_027_wall.png
28,stairs,stairs,4,4,1,4,1.000000,1.000000,0.000129,0.000266,20.000000,2 3 0 1,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.301a23b22d94e0817785bd2577615b75\visualizations\shape_028_stairs.png
29,elevator,elevator,4,4,1,4,1.000000,1.000000,0.000395,0.000674,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.301a23b22d94e0817785bd2577615b75\visualizations\shape_029_elevator.png
30,others,others,10,10,1,10,1.000000,1.000000,0.000886,0.000607,20.000000,0 1 2 3 4 5 6 7 8 9,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.301a23b22d94e0817785bd2577615b75\visualizations\shape_030_others.png
31,bathroom,bathroom,4,4,1,4,1.000000,1.000000,0.000176,0.000330,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.301a23b22d94e0817785bd2577615b75\visualizations\shape_031_bathroom.png
32,bathroom,bathroom,4,4,1,4,1.000000,1.000000,0.000197,0.000323,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.301a23b22d94e0817785bd2577615b75\visualizations\shape_032_bathroom.png
33,entrance,entrance,6,6,1,6,1.000000,1.000000,0.000209,0.000205,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.301a23b22d94e0817785bd2577615b75\visualizations\shape_033_entrance.png
34,entrance,entrance,6,6,1,6,1.000000,1.000000,0.000380,0.000718,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.301a23b22d94e0817785bd2577615b75\visualizations\shape_034_entrance.png
35,bathroom,bathroom,4,4,1,4,1.000000,1.000000,0.000089,0.000186,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.301a23b22d94e0817785bd2577615b75\visualizations\shape_035_bathroom.png
36,others,others,6,6,1,6,1.000000,1.000000,0.000249,0.000379,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.301a23b22d94e0817785bd2577615b75\visualizations\shape_036_others.png
37,dressing_room,dressing_room,4,4,1,4,1.000000,1.000000,0.000175,0.000286,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.301a23b22d94e0817785bd2577615b75\visualizations\shape_037_dressing_room.png
38,others,others,4,4,1,4,1.000000,1.000000,0.000135,0.000214,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.301a23b22d94e0817785bd2577615b75\visualizations\shape_038_others.png
39,bed_room,bed_room,4,4,1,4,1.000000,1.000000,0.000045,0.000305,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.301a23b22d94e0817785bd2577615b75\visualizations\shape_039_bed_room.png
40,bed_room,bed_room,8,8,1,8,1.000000,1.000000,0.000269,0.000391,20.000000,0 1 2 3 4 5 6 7,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.301a23b22d94e0817785bd2577615b75\visualizations\shape_040_bed_room.png
41,bed_room,bed_room,6,6,1,6,1.000000,1.000000,0.000310,0.000387,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.301a23b22d94e0817785bd2577615b75\visualizations\shape_041_bed_room.png
42,bed_room,bed_room,6,6,1,6,1.000000,1.000000,0.000371,0.000362,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.301a23b22d94e0817785bd2577615b75\visualizations\shape_042_bed_room.png
