shape_idx,orig_label,rf_label,n_points_orig,n_points_rf,label_match,recovered_vertices,cap_strict,cap_bidir,align_rmse,mean_nn_dist,distance_threshold,recovered_indices,visualization_path
26,bathroom,others,4,5,0,4,0.000000,1.000000,8.730849,12.999024,20.000000,0 3 2 1,roboflow\cap_evaluation\TE_D_00051\TE_D_00051_png.rf.98dbacb619af180d084df7c7d40c2b52\visualizations\shape_026_bathroom.png
27,bed_room,bathroom,8,5,0,3,0.666667,0.666667,13.994349,13.806549,20.000000,0 1 7,roboflow\cap_evaluation\TE_D_00051\TE_D_00051_png.rf.98dbacb619af180d084df7c7d40c2b52\visualizations\shape_027_bed_room.png
28,living_kitchen,bed_room,16,9,0,2,0.500000,1.000000,53.226391,18.633687,20.000000,9 8,roboflow\cap_evaluation\TE_D_00051\TE_D_00051_png.rf.98dbacb619af180d084df7c7d40c2b52\visualizations\shape_028_living_kitchen.png
29,others,living_kitchen,4,17,0,0,0.000000,0.000000,140.835709,nan,20.000000,,roboflow\cap_evaluation\TE_D_00051\TE_D_00051_png.rf.98dbacb619af180d084df7c7d40c2b52\visualizations\shape_029_others.png
30,others,others,4,5,1,2,0.000000,0.000000,15.551749,11.882405,20.000000,0 2,roboflow\cap_evaluation\TE_D_00051\TE_D_00051_png.rf.98dbacb619af180d084df7c7d40c2b52\visualizations\shape_030_others.png
31,others,others,4,5,1,2,0.000000,0.000000,21.915257,14.349193,20.000000,0 2,roboflow\cap_evaluation\TE_D_00051\TE_D_00051_png.rf.98dbacb619af180d084df7c7d40c2b52\visualizations\shape_031_others.png
32,others,others,4,5,1,2,0.000000,0.000000,20.602835,19.243864,20.000000,1 3,roboflow\cap_evaluation\TE_D_00051\TE_D_00051_png.rf.98dbacb619af180d084df7c7d40c2b52\visualizations\shape_032_others.png
33,others,others,4,5,1,2,0.000000,0.000000,12.709442,10.780887,20.000000,0 2,roboflow\cap_evaluation\TE_D_00051\TE_D_00051_png.rf.98dbacb619af180d084df7c7d40c2b52\visualizations\shape_033_others.png
34,others,others,4,5,1,2,0.000000,0.000000,13.846726,11.610577,20.000000,0 2,roboflow\cap_evaluation\TE_D_00051\TE_D_00051_png.rf.98dbacb619af180d084df7c7d40c2b52\visualizations\shape_034_others.png
35,others,others,4,5,1,2,0.000000,0.000000,10.064664,9.565529,20.000000,0 2,roboflow\cap_evaluation\TE_D_00051\TE_D_00051_png.rf.98dbacb619af180d084df7c7d40c2b52\visualizations\shape_035_others.png
36,background,others,30,5,0,5,0.000000,0.000000,17.127744,15.817253,20.000000,11 27 0 25 8,roboflow\cap_evaluation\TE_D_00051\TE_D_00051_png.rf.98dbacb619af180d084df7c7d40c2b52\visualizations\shape_036_background.png
